,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.74133643 0.73728562 0.70935657 0.7195121 ],0.7268726798062395,"('cat_type_Month-to-month',)",0.020879128351654952,0.013025184994695524,0.007520094062932135
2,"(2, 9)",[0.77936088 0.7871283  0.75449887 0.76810584],0.7722734734421723,"('cat_type_Month-to-month', 'cat_payment_method_Electronic check')",0.0197010738305198,0.012290270307971706,0.00709579087072073
3,"(2, 5, 9)",[0.78976489 0.80265764 0.7751778  0.78205098],0.7874128275296892,"('cat_type_Month-to-month', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check')",0.016354765613089572,0.010202717473044876,0.005890541679528157
4,"(2, 5, 9, 19)",[0.79193786 0.80895809 0.77844595 0.79643111],0.7939432519568613,"('cat_type_Month-to-month', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_tech_support_No')",0.01748320649647204,0.010906681307841134,0.006296975389047538
5,"(2, 5, 9, 19, 24)",[0.79955614 0.81123275 0.78720232 0.80207164],0.8000157123125136,"('cat_type_Month-to-month', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_tech_support_No', 'cat_streaming_movies_Yes')",0.013753051355834637,0.008579670335571997,0.004953474977800739
6,"(2, 5, 9, 12, 19, 24)",[0.80014572 0.81433269 0.78898096 0.8006544 ],0.801028444472323,"('cat_type_Month-to-month', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_tech_support_No', 'cat_streaming_movies_Yes')",0.014405974963035223,0.008986988621467656,0.0051886402998084545
7,"(2, 4, 5, 9, 12, 19, 24)",[0.80098376 0.82063959 0.79138948 0.79449371],0.8018766337085089,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_tech_support_No', 'cat_streaming_movies_Yes')",0.018229880664698724,0.011372484717260859,0.006565907112865463
8,"(2, 4, 5, 6, 9, 12, 19, 24)",[0.80010582 0.82116828 0.79060342 0.79507454],0.801738013931617,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_paperless_billing_No', 'cat_paperless_billing_Yes', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_tech_support_No', 'cat_streaming_movies_Yes')",0.01877234702417033,0.01171089562055686,0.006761288738980113
9,"(2, 4, 5, 6, 9, 12, 19, 20, 24)",[0.80034783 0.82124307 0.79129138 0.79505905],0.8019853336822323,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_paperless_billing_No', 'cat_paperless_billing_Yes', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_tech_support_No', 'cat_tech_support_Yes', 'cat_streaming_movies_Yes')",0.018553699195478314,0.011574494887277385,0.006682537738903545
10,"(2, 4, 5, 6, 9, 11, 12, 19, 20, 24)",[0.8012438  0.82101483 0.79051565 0.79524363],0.8020044753782809,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_paperless_billing_No', 'cat_paperless_billing_Yes', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_tech_support_No', 'cat_tech_support_Yes', 'cat_streaming_movies_Yes')",0.018619343346576993,0.011615446175926953,0.0067061809764290365
