iter	Logloss
0	0.6875737062
1	0.6790135823
2	0.6705469046
3	0.6624142509
4	0.653592043
5	0.6468167449
6	0.6383560788
7	0.630198602
8	0.6245492309
9	0.6211350623
10	0.6149217307
11	0.6083787242
12	0.6025942004
13	0.5963671366
14	0.5912463609
15	0.5871215432
16	0.583951082
17	0.5793855236
18	0.5744764286
19	0.569145264
20	0.5646425377
21	0.5603262402
22	0.5551822823
23	0.5517456651
24	0.5481097626
25	0.5447515663
26	0.5416838559
27	0.538084978
28	0.5349630333
29	0.5319532393
30	0.5296571102
31	0.5265271514
32	0.5236136957
33	0.521350091
34	0.5198921498
35	0.5176362053
36	0.515483661
37	0.5132939413
38	0.5113378282
39	0.5089257805
40	0.5071150529
41	0.5052784304
42	0.5036644724
43	0.5020938774
44	0.5002856175
45	0.4985791565
46	0.4970354827
47	0.495826589
48	0.4942829151
49	0.4939100846
50	0.4928169296
51	0.4915319804
52	0.490309065
53	0.4897315065
54	0.4889231368
55	0.488387232
56	0.4873722934
57	0.4863881481
58	0.4850604689
59	0.4841788953
60	0.483559352
61	0.4825678609
62	0.4814820425
63	0.4806723016
64	0.4798919173
65	0.4790208909
66	0.4783803312
67	0.4776758661
68	0.4767966171
69	0.4761759132
70	0.4758988649
71	0.4750703847
72	0.4747920693
73	0.4740687269
74	0.473501774
75	0.4731912416
76	0.4727532591
77	0.472104277
78	0.4717849852
79	0.4708234534
80	0.4703355632
81	0.4696949785
82	0.4691419032
83	0.4686489806
84	0.468261955
85	0.4678190132
86	0.46734718
87	0.4669931726
88	0.4664943016
89	0.4659731789
90	0.4657710604
91	0.4655111282
92	0.4650515945
93	0.4646118203
94	0.463992707
95	0.4635837987
96	0.4632264416
97	0.4631009153
98	0.4626605382
99	0.4623817433
100	0.4622618955
101	0.4619411452
102	0.4615510266
103	0.4610426937
104	0.4608573736
105	0.4605120177
106	0.4600280502
107	0.4596351478
108	0.4593597268
109	0.4592861582
110	0.4587967089
111	0.458527038
112	0.4581791639
113	0.4577815963
114	0.4575059777
115	0.4571256056
116	0.456866265
117	0.4565909557
118	0.4564901211
119	0.4559749312
120	0.455631799
121	0.4555466854
122	0.4553429094
123	0.4551470634
124	0.4548466499
125	0.4546338196
126	0.4543767795
127	0.4542027039
128	0.4540720463
129	0.4538949311
130	0.4538392826
131	0.453660203
132	0.4536548489
133	0.453369728
134	0.4530687813
135	0.4529596574
136	0.4527417406
137	0.4525440807
138	0.4523625599
139	0.4521251946
140	0.4520354866
141	0.4519032934
142	0.4517459862
143	0.4515875686
144	0.451455982
145	0.4513746384
146	0.4511746103
147	0.451048743
148	0.4508502145
149	0.450689375
150	0.4505600872
151	0.4504228119
152	0.450325727
153	0.4501864115
154	0.450077001
155	0.449886531
156	0.4496816309
157	0.4495990451
158	0.4494561805
159	0.4492500899
160	0.4491661181
161	0.449054124
162	0.448809482
163	0.4486766711
164	0.4486182129
165	0.4485000907
166	0.4483852292
167	0.4482246249
168	0.4480297262
169	0.4477998337
170	0.4477366912
171	0.4476311461
172	0.4476042614
173	0.4474700804
174	0.4472880971
175	0.4472308883
176	0.4470921241
177	0.4469654581
178	0.4468842551
179	0.4467279076
180	0.4465850378
181	0.4464573891
182	0.4463768459
183	0.4463181195
184	0.4462091641
185	0.4460833985
186	0.4459902648
187	0.4459163617
188	0.4458466154
189	0.4458465733
190	0.4457225708
191	0.4455734087
192	0.4455170572
193	0.4454883134
194	0.4453843637
195	0.4453040443
196	0.4452628247
197	0.4452271933
198	0.445216402
199	0.4450839276
200	0.4449766631
201	0.4449244333
202	0.4447973986
203	0.4447574114
204	0.444664508
205	0.4445742479
206	0.4445342489
207	0.4444637332
208	0.4443608277
209	0.444360309
210	0.4443112235
211	0.4443024158
212	0.4442101907
213	0.444121801
214	0.4440973467
215	0.4439730609
216	0.4439278336
217	0.4437956089
218	0.4437201548
219	0.4436737254
220	0.4436592758
221	0.4436287405
222	0.4435166279
223	0.4434560272
224	0.4433671468
225	0.44332422
226	0.4432626056
227	0.4432437054
228	0.4431824843
229	0.4431107333
230	0.4430465655
231	0.4430254082
232	0.4429565683
233	0.4429210635
234	0.442872522
235	0.4427777029
236	0.4427439067
237	0.4426809708
238	0.4425779201
239	0.442528702
240	0.4424450234
241	0.4424448488
242	0.442421488
243	0.4423893473
244	0.4423022287
245	0.4422332444
246	0.4421955529
247	0.442117031
248	0.4420626538
249	0.4420627833
250	0.4419654761
251	0.441916744
252	0.4418799999
253	0.4418320942
254	0.4418257296
255	0.4418152231
256	0.4417896518
257	0.4416693896
258	0.4416315867
259	0.4415396966
260	0.4415394381
261	0.441465205
262	0.441411994
263	0.4413985011
264	0.4413334987
265	0.4412059029
266	0.4411571469
267	0.4411026607
268	0.4410805976
269	0.4410285886
270	0.4409788112
271	0.4409514079
272	0.4409374297
273	0.4408970404
274	0.4408482247
275	0.4408348141
276	0.4407773591
277	0.4407264867
278	0.4406803445
279	0.4405736546
280	0.4405084879
281	0.440500721
282	0.4404606752
283	0.4404385236
284	0.4403334719
285	0.4403244876
286	0.4402949928
287	0.4402531925
288	0.4402353361
289	0.4401726178
290	0.4401335337
291	0.4400924902
292	0.4400137
293	0.4399046433
294	0.4398708342
295	0.4398220295
296	0.4397639628
297	0.4397263635
298	0.4397086317
299	0.4396145086
300	0.4395511472
301	0.4395126074
302	0.4394756372
303	0.4394465162
304	0.4394025222
305	0.4393656883
306	0.439335458
307	0.4392644775
308	0.4392490389
309	0.4392294352
310	0.4391554721
311	0.4391164575
312	0.4390925777
313	0.4390370663
314	0.4390272335
315	0.4389822491
316	0.4389525207
317	0.4389483813
318	0.4389484705
319	0.4389094783
320	0.4389056025
321	0.4387994833
322	0.4387934656
323	0.4387281517
324	0.4387145418
325	0.4386457264
326	0.4386315161
327	0.4386228897
328	0.4385817217
329	0.4385414624
330	0.4385138973
331	0.4384497977
332	0.4384126204
333	0.4383995559
334	0.4383597926
335	0.4383260302
336	0.4382825217
337	0.4382129442
338	0.438157842
339	0.4381531199
340	0.4380872935
341	0.4380744314
342	0.438062769
343	0.4380540125
344	0.4379859114
345	0.4379444529
346	0.437923073
347	0.4378745756
348	0.4378279886
349	0.4378258654
350	0.4377683918
351	0.4377578043
352	0.4376936662
353	0.4376323871
354	0.4376054558
355	0.437578055
356	0.4375683908
357	0.4375191157
358	0.4374912496
359	0.4374235984
360	0.437420194
361	0.4373730116
362	0.4373500071
363	0.4373045919
364	0.4372783304
365	0.4372175784
366	0.4372079923
367	0.4371319827
368	0.4371117128
369	0.4371023465
370	0.4370432145
371	0.4370204519
372	0.4369480038
373	0.4369140516
374	0.4368828224
375	0.4368608064
376	0.4368183862
377	0.4367973439
378	0.4367619849
379	0.4367329856
380	0.4366946323
381	0.4366497379
382	0.4365979511
383	0.4365706427
384	0.4365478539
385	0.4365477261
386	0.4364962885
387	0.4364483589
388	0.4364483595
389	0.4364119147
390	0.4363788518
391	0.4363132422
392	0.4363085636
393	0.4362938152
394	0.4362623787
395	0.4362381895
396	0.4361830774
397	0.436123018
398	0.4360954654
399	0.4360277876
400	0.4359800763
401	0.4359314417
402	0.4359089923
403	0.4358706396
404	0.435803669
405	0.4357499348
406	0.4356887907
407	0.4356300578
408	0.4356253774
409	0.4355632943
410	0.435517737
411	0.4354648128
412	0.4354465165
413	0.4354073824
414	0.4353494388
415	0.4353233236
416	0.4352789919
417	0.4352277651
418	0.4352028057
419	0.4351804675
420	0.435150133
421	0.4351255544
422	0.4350455118
423	0.4350324609
424	0.4349521871
425	0.4348742295
426	0.4348302692
427	0.4347768385
428	0.4347308986
429	0.4346845751
430	0.4346716617
431	0.4345947161
432	0.4345785519
433	0.4345389451
434	0.4344618107
435	0.4343965207
436	0.434366707
437	0.4343444144
438	0.4342749175
439	0.4342253937
440	0.4341990684
441	0.4341423487
442	0.4340688108
443	0.434023485
444	0.4339876818
445	0.4339618978
446	0.4339346915
447	0.4338775379
448	0.4338059069
449	0.4337573867
450	0.4337058239
451	0.4336708648
452	0.4336413173
453	0.4336004969
454	0.4335736302
455	0.4335354633
456	0.4334719362
457	0.4334325457
458	0.4333627553
459	0.4332718894
460	0.4332036378
461	0.433147907
462	0.4331019579
463	0.4330595406
464	0.4330019078
465	0.4329495608
466	0.4328910325
467	0.4328683371
468	0.4327966808
469	0.4327066698
470	0.4326253758
471	0.432546336
472	0.4324825968
473	0.4323978793
474	0.4323527941
475	0.4323103274
476	0.4322712353
477	0.4322397392
478	0.4321859479
479	0.4321227806
480	0.4320855131
481	0.4320533615
482	0.4319895886
483	0.4319199516
484	0.4318460567
485	0.4318252155
486	0.4317746023
487	0.4317371192
488	0.4316980106
489	0.4316196637
490	0.4315550944
491	0.4315050505
492	0.4314486307
493	0.4314011813
494	0.4313407763
495	0.4313049833
496	0.4312604974
497	0.431210143
498	0.4311589415
499	0.4311090643
500	0.4310176492
501	0.4309623905
502	0.4309274644
503	0.4308592198
504	0.4308338
505	0.4307671638
506	0.4307294635
507	0.4306544274
508	0.4306104555
509	0.4305172641
510	0.4304928796
511	0.430427273
512	0.4303745294
513	0.4303134862
514	0.4302732583
515	0.4302034488
516	0.4301354152
517	0.4300478128
518	0.42999928
519	0.4299421663
520	0.4298950195
521	0.4298307551
522	0.4297750396
523	0.4296931739
524	0.4296170697
525	0.4295583161
526	0.4295246019
527	0.4294665252
528	0.4294059893
529	0.429352786
530	0.4293015308
531	0.429262835
532	0.4292135647
533	0.4291705558
534	0.4291250273
535	0.4290789617
536	0.4290371456
537	0.4289632443
538	0.428924938
539	0.4288606744
540	0.4287787986
541	0.4287044588
542	0.428671742
543	0.4286411911
