iter	Passed	Remaining
0	2	616
1	4	628
2	6	659
3	9	685
4	11	689
5	14	689
6	16	687
7	18	688
8	21	694
9	24	711
10	26	704
11	29	703
12	32	721
13	35	718
14	37	714
15	40	716
16	42	711
17	45	711
18	47	706
19	50	708
20	52	696
21	54	693
22	57	694
23	60	691
24	62	682
25	64	679
26	67	680
27	69	675
28	71	668
29	72	656
30	74	650
31	76	643
32	78	638
33	80	632
34	82	624
35	84	618
36	86	615
37	88	610
38	90	603
39	92	598
40	94	594
41	95	589
42	97	584
43	99	580
44	101	576
45	103	572
46	105	568
47	107	564
48	109	561
49	111	557
50	113	553
51	115	549
52	116	544
53	118	540
54	120	536
55	122	533
56	124	529
57	126	525
58	127	522
59	129	519
60	131	516
61	133	513
62	135	510
63	137	507
64	139	503
65	141	500
66	143	497
67	144	492
68	146	489
69	148	486
70	149	483
71	151	480
72	153	478
73	155	475
74	157	473
75	159	469
76	160	465
77	162	462
78	164	459
79	166	457
80	168	454
81	170	452
82	172	449
83	174	447
84	175	444
85	177	441
86	179	439
87	181	437
88	183	434
89	185	432
90	186	429
91	188	426
92	190	423
93	192	421
94	194	418
95	195	415
96	197	413
97	199	410
98	201	408
99	203	406
100	205	404
101	207	402
102	209	399
103	210	397
104	212	394
105	214	392
106	216	389
107	218	387
108	219	385
109	221	383
110	223	380
111	225	378
112	227	376
113	231	377
114	233	375
115	235	373
116	237	371
117	239	369
118	241	366
119	243	364
120	245	362
121	246	359
122	248	357
123	250	355
124	252	353
125	254	350
126	256	348
127	257	346
128	259	344
129	261	342
130	263	340
131	265	338
132	267	335
133	269	333
134	271	331
135	272	329
136	274	327
137	276	324
138	278	322
139	280	320
140	282	318
141	284	316
142	286	314
143	288	312
144	290	310
145	292	308
146	293	305
147	295	303
148	297	301
149	299	299
150	301	297
151	303	295
152	305	293
153	307	291
154	309	289
155	311	287
156	314	286
157	315	283
158	317	281
159	319	279
160	322	278
161	324	276
162	326	274
163	327	271
164	329	269
165	332	268
166	334	266
167	336	264
168	339	262
169	341	261
170	343	259
171	346	257
172	348	255
173	350	253
174	351	251
175	354	249
176	356	247
177	358	245
178	360	243
179	362	241
180	364	239
181	366	237
182	367	235
183	370	233
184	373	231
185	375	229
186	379	229
187	381	227
188	384	225
189	385	223
190	388	221
191	390	219
192	392	217
193	395	216
194	397	214
195	399	211
196	401	209
197	403	207
198	405	205
199	407	203
200	408	201
201	410	199
202	412	197
203	414	195
204	415	192
205	417	190
206	419	188
207	421	186
208	423	184
209	424	182
210	426	180
211	428	177
212	430	175
213	432	173
214	434	171
215	436	169
216	437	167
217	439	165
218	441	163
219	443	161
220	444	159
221	446	156
222	447	154
223	449	152
224	451	150
225	453	148
226	455	146
227	457	144
228	458	142
229	460	140
230	462	138
231	464	136
232	466	134
233	468	132
234	470	130
235	472	128
236	473	125
237	476	124
238	477	121
239	479	119
240	481	117
241	482	115
242	484	113
243	486	111
244	488	109
245	490	107
246	491	105
247	493	103
248	495	101
249	497	99
250	499	97
251	501	95
252	503	93
253	504	91
254	506	89
255	508	87
256	510	85
257	512	83
258	513	81
259	515	79
260	517	77
261	519	75
262	521	73
263	523	71
264	525	69
265	526	67
266	528	65
267	530	63
268	532	61
269	534	59
270	536	57
271	538	55
272	540	53
273	541	51
274	543	49
275	553	48
276	556	46
277	559	44
278	561	42
279	564	40
280	567	38
281	569	36
282	572	34
283	574	32
284	576	30
285	577	28
286	580	26
287	581	24
288	583	22
289	585	20
290	587	18
291	589	16
292	591	14
293	592	12
294	594	10
295	596	8
296	598	6
297	603	4
298	605	2
299	607	0
